candles,code,message,s
"[1735886700, 24115.1, 24115.1, 24083, 24089.15, 0]",200,,ok
"[1735887000, 24089.85, 24093.45, 24069.75, 24071.75, 0]",200,,ok
"[1735887300, 24072.8, 24082.15, 24058.4, 24059.1, 0]",200,,ok
"[1735887600, 24060.1, 24072.5, 24055.95, 24072.5, 0]",200,,ok
"[1735887900, 24072.45, 24073.2, 24052.25, 24066.4, 0]",200,,ok
"[1735888200, 24066.25, 24087.8, 24059.5, 24076.7, 0]",200,,ok
"[1735888500, 24077.75, 24086.45, 24064.85, 24079.2, 0]",200,,ok
"[1735888800, 24079.1, 24082, 24064.55, 24069, 0]",200,,ok
"[1735889100, 24069, 24087.2, 24063.35, 24082.5, 0]",200,,ok
"[1735889400, 24082.65, 24115.65, 24078.35, 24110.2, 0]",200,,ok
"[1735889700, 24111.85, 24121.6, 24096.55, 24107.4, 0]",200,,ok
"[1735890000, 24107.4, 24111, 24089.75, 24098.25, 0]",200,,ok
"[1735890300, 24097.65, 24104.55, 24082.3, 24101.8, 0]",200,,ok
"[1735890600, 24102.65, 24112.55, 24100.45, 24106.8, 0]",200,,ok
"[1735890900, 24106.35, 24110.5, 24096.75, 24099.05, 0]",200,,ok
"[1735891200, 24098.75, 24106.5, 24088.5, 24089.85, 0]",200,,ok
"[1735891500, 24088.85, 24091.1, 24076.5, 24083.75, 0]",200,,ok
"[1735891800, 24082.5, 24093.85, 24077, 24081.35, 0]",200,,ok
"[1735892100, 24081.65, 24083.2, 24063.55, 24073.95, 0]",200,,ok
"[1735892400, 24073.65, 24075.7, 24063.1, 24069.25, 0]",200,,ok
"[1735892700, 24069.2, 24071.65, 24038.55, 24041.65, 0]",200,,ok
"[1735893000, 24041.25, 24049.8, 24027.35, 24032.6, 0]",200,,ok
"[1735893300, 24032, 24048.8, 24021.2, 24031.6, 0]",200,,ok
"[1735893600, 24031.5, 24046.7, 24023.25, 24031.6, 0]",200,,ok
"[1735893900, 24032.55, 24034.55, 24018.55, 24028.55, 0]",200,,ok
"[1735894200, 24028.85, 24044.4, 24027.85, 24036.8, 0]",200,,ok
"[1735894500, 24036.15, 24047.9, 24030.05, 24043.7, 0]",200,,ok
"[1735894800, 24043.9, 24050.6, 24020, 24037.15, 0]",200,,ok
"[1735895100, 24036.3, 24051.7, 24033.75, 24048.25, 0]",200,,ok
"[1735895400, 24048.55, 24050.05, 24031.95, 24036.95, 0]",200,,ok
"[1735895700, 24036.75, 24053.5, 24036.75, 24045.8, 0]",200,,ok
"[1735896000, 24044.3, 24046.05, 24035.25, 24045.1, 0]",200,,ok
"[1735896300, 24044.4, 24046.25, 24029, 24032.55, 0]",200,,ok
"[1735896600, 24032.85, 24035.2, 24005.35, 24006.85, 0]",200,,ok
"[1735896900, 24005.5, 24010.75, 23976, 24009.95, 0]",200,,ok
"[1735897200, 24010.35, 24019.7, 24003.55, 24008.05, 0]",200,,ok
"[1735897500, 24008.15, 24021.8, 23991.15, 23999.4, 0]",200,,ok
"[1735897800, 24000.3, 24008.85, 23992.7, 23995.4, 0]",200,,ok
"[1735898100, 23995.95, 24000.25, 23976.75, 23990.15, 0]",200,,ok
"[1736135100, 24045.8, 24054.35, 24018.15, 24034.05, 0]",200,,ok
"[1736135400, 24031.8, 24087.75, 24016.4, 24080.6, 0]",200,,ok
"[1736135700, 24080.75, 24089.95, 24030.7, 24036.15, 0]",200,,ok
"[1736136000, 24035.65, 24071.5, 24014, 24026.25, 0]",200,,ok
"[1736136300, 24023.6, 24025.25, 23975, 24020.9, 0]",200,,ok
"[1736136600, 24019.6, 24021.75, 23947.75, 23948.35, 0]",200,,ok
"[1736136900, 23947.55, 23962.45, 23911.45, 23962.1, 0]",200,,ok
"[1736137200, 23962.75, 23964.7, 23928.1, 23928.9, 0]",200,,ok
"[1736137500, 23930.25, 23967.65, 23918.45, 23942, 0]",200,,ok
"[1736137800, 23942.25, 24017.9, 23942.25, 23997.35, 0]",200,,ok
"[1736138100, 23995.95, 24027, 23983.15, 24021.5, 0]",200,,ok
"[1736138400, 24023.65, 24030.4, 24007.25, 24025.7, 0]",200,,ok
"[1736138700, 24024, 24054.3, 24011.15, 24015.95, 0]",200,,ok
"[1736139000, 24015.05, 24015.95, 23972.85, 23975.55, 0]",200,,ok
"[1736139300, 23974.45, 23986.5, 23966.75, 23966.95, 0]",200,,ok
"[1736139600, 23966.9, 23966.9, 23937.9, 23938.6, 0]",200,,ok
"[1736139900, 23939.25, 23948.6, 23918.1, 23924.1, 0]",200,,ok
"[1736140200, 23923.95, 23929.65, 23880.15, 23882.95, 0]",200,,ok
"[1736140500, 23882.4, 23882.9, 23854.6, 23866.35, 0]",200,,ok
"[1736140800, 23866.75, 23866.9, 23827.7, 23834.85, 0]",200,,ok
"[1736141100, 23834.25, 23847.5, 23820, 23831.5, 0]",200,,ok
"[1736141400, 23831.05, 23837.4, 23807.1, 23807.5, 0]",200,,ok
"[1736141700, 23808.25, 23823.7, 23792.3, 23793, 0]",200,,ok
"[1736142000, 23793, 23793.8, 23726.6, 23745.1, 0]",200,,ok
"[1736142300, 23744.3, 23764.95, 23716.8, 23764.95, 0]",200,,ok
"[1736142600, 23765.6, 23779, 23733.9, 23752.3, 0]",200,,ok
"[1736142900, 23751.85, 23786.55, 23742.7, 23782.35, 0]",200,,ok
"[1736143200, 23782.75, 23800.35, 23768.45, 23768.45, 0]",200,,ok
"[1736143500, 23769.4, 23791.45, 23758.75, 23769.15, 0]",200,,ok
"[1736143800, 23769.15, 23770.55, 23708.85, 23708.85, 0]",200,,ok
"[1736144100, 23708.45, 23709.15, 23633.2, 23640.9, 0]",200,,ok
"[1736144400, 23644.95, 23656.5, 23620.25, 23627.2, 0]",200,,ok
"[1736144700, 23627.2, 23629.5, 23601.5, 23608.15, 0]",200,,ok
"[1736145000, 23609.9, 23685.45, 23609.9, 23666.6, 0]",200,,ok
"[1736145300, 23666, 23707.15, 23658.55, 23683.45, 0]",200,,ok
"[1736145600, 23683.3, 23727.6, 23683.15, 23719.8, 0]",200,,ok
"[1736145900, 23719.35, 23731, 23685.25, 23691.05, 0]",200,,ok
"[1736146200, 23689.1, 23726.05, 23688.9, 23704.6, 0]",200,,ok
"[1736146500, 23704.7, 23715.35, 23679.05, 23679.05, 0]",200,,ok
"[1736146800, 23679.2, 23722.15, 23679.2, 23712.6, 0]",200,,ok
"[1736147100, 23712.35, 23753.45, 23707.3, 23747.8, 0]",200,,ok
"[1736147400, 23747.45, 23768.75, 23733.1, 23740.5, 0]",200,,ok
"[1736147700, 23740.65, 23760.85, 23727.9, 23751.9, 0]",200,,ok
"[1736148000, 23751.4, 23755.65, 23727.65, 23737.5, 0]",200,,ok
"[1736148300, 23735.75, 23770.45, 23730.65, 23769.55, 0]",200,,ok
"[1736148600, 23768.15, 23779.15, 23739.05, 23749.75, 0]",200,,ok
